variant,object_id,policy,acquired_view_count,backend,accuracy_normalized,completeness_normalized,chamfer_l1_normalized,ground_truth_diameter,precision_1pct,recall_1pct,fscore_1pct,precision_2pct,recall_2pct,fscore_2pct,precision_10pct,recall_10pct,fscore_10pct
phase2_farthest,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,10,2dgs,0.029750216752290726,0.010553719475865364,0.020151968114078045,1.9695251039197683,0.2393,0.6102,0.34378071806945265,0.5119,0.9043,0.6537370004236691,0.9425,1.0,0.9703989703989705
phase2_oracle,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,10,2dgs,0.12845848500728607,0.01585329882800579,0.07215589191764593,1.9695251039197683,0.0501,0.3177,0.08655122349102774,0.0949,0.7514,0.1685167434715822,0.4506,1.0,0.6212601682062594
phase2_pun,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,10,2dgs,0.08397553116083145,0.023307809606194496,0.053641670383512974,1.9695251039197683,0.1054,0.3296,0.15972340229885057,0.2304,0.5901,0.33140533820840945,0.695,0.9829,0.8142505512843435
phase2_random,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,10,2dgs,0.06011587753891945,0.030131617560982704,0.045123747549951077,1.9695251039197683,0.0826,0.2506,0.12424705882352943,0.1608,0.4406,0.2356118390422348,0.8806,1.0,0.9365096245878975
phase2_vggt,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,10,2dgs,0.028278809040784836,0.010245977900922298,0.019262393470853567,1.9695251039197683,0.2351,0.6254,0.34173513073794304,0.496,0.9045,0.6406740449839342,0.9622,1.0,0.9807359086739373
phase2_farthest,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,5,2dgs,0.13198164105415344,0.048568326979875565,0.0902749840170145,1.9695251039197683,0.0077,0.0416,0.0129947261663286,0.0241,0.1559,0.04174655555555555,0.508,0.9961,0.6728526028854465
phase2_oracle,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,5,2dgs,0.0326622910797596,0.017830030992627144,0.02524616103619337,1.9695251039197683,0.1208,0.332,0.17714487632508835,0.2831,0.6188,0.3884738441068855,0.9996,1.0,0.9997999599919984
phase2_pun,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,5,2dgs,0.05690158158540726,0.015148140490055084,0.03602486103773117,1.9695251039197683,0.0865,0.3691,0.14015430201931517,0.1756,0.7314,0.2832058213891952,0.8711,1.0,0.9311100422211533
phase2_random,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,5,2dgs,0.046438854187726974,0.014632267877459526,0.03053556103259325,1.9695251039197683,0.0908,0.3828,0.14678310810810813,0.2245,0.8279,0.3532184530596731,0.9296,1.0,0.9635157545605306
phase2_vggt,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,5,2dgs,0.052935704588890076,0.021436242386698723,0.0371859734877944,1.9695251039197683,0.1284,0.3878,0.1929233630375823,0.2446,0.6114,0.34941224299065426,0.8547,0.9964,0.9201264977580897
phase3_vggt_independent_history,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_independent_history,5,2dgs,0.04225453361868858,0.01820458471775055,0.030229559168219566,1.9695251039197683,0.1406,0.4299,0.21189812445223488,0.2835,0.6377,0.39250531914893616,0.9278,0.9998,0.962455322681054
phase3_vggt_joint_history,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_history,5,2dgs,0.05041006579995155,0.009825612418353558,0.030117839109152555,1.9695251039197683,0.1369,0.6033,0.22316068630099972,0.2694,0.9481,0.41957805338809034,0.8917,1.0,0.9427499074906168
phase3_vggt_joint_pose_deepsets,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_pose_deepsets,5,2dgs,0.03860541433095932,0.010961701162159443,0.02478355774655938,1.9695251039197683,0.18,0.6562,0.282506577373834,0.3519,0.8739,0.5017546255506607,0.969,1.0,0.984255967496191
phase3_vggt_joint_token_attention,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_token_attention,5,2dgs,0.04255589470267296,0.027701308950781822,0.03512860182672739,1.9695251039197683,0.0635,0.1739,0.09302990732940185,0.1667,0.3749,0.2307822378138848,0.9683,1.0,0.9838947314941827
