variant,backbone,feature,input_dim,trainable_parameters,best_epoch,huber_loss,normalized_regret_mean,spearman_mean,ndcg_at_5_mean
train_mean_map,none,train_mean_map,0,0,0,1.6996491034825643,0.2592069776524295,0.40982289793155524,0.7547194964393259
raw_rgb_16x16_mlp,raw_rgb,flattened_rgb,768,106160,40,1.442872993681166,0.27444928287446524,0.3977076304855228,0.7476703763677127
imagenet_vit_pooled_patch,imagenet_vit,pooled_patch,768,106160,49,1.1026688851250543,0.2405802200982417,0.4664866020159377,0.7775302504676812
imagenet_vit_cls_token,imagenet_vit,cls_token,768,106160,22,1.2196281645033094,0.25154726159078833,0.44736067091876447,0.7701479595683557
dinov2_pooled_patch,dinov2,pooled_patch,768,106160,23,1.1635068448384602,0.21550291721747686,0.483262844807978,0.7980236290690944
dinov2_cls_token,dinov2,cls_token,768,106160,11,1.2225071705712212,0.22347874546478425,0.4823748343010878,0.7930678449250874
vggt_pooled_patch,vggt,pooled_patch,2048,272560,48,1.145645686255561,0.234209808848041,0.47676515023914146,0.7845319907771454
vggt_max_pooled_patch,vggt,max_pooled_patch,2048,272560,48,1.1526664733886718,0.2206386989620598,0.5065193735901474,0.7998873983030902
vggt_camera_token,vggt,pooled_camera,2048,272560,50,1.1421315240859986,0.23142453699688847,0.4813131783379474,0.7886422936322931
vggt_pooled_register,vggt,pooled_register,2048,272560,50,1.13640147474077,0.2332777510765401,0.4767092759541487,0.7852982513855856
vggt_camera_patch,vggt,pooled_camera+pooled_patch,4096,538800,44,1.1217189534505208,0.2211067916710734,0.49013826484308604,0.7965489548228718
