variant,backbone,feature,input_dim,trainable_parameters,best_epoch,huber_loss,official_unmasked_mse_loss,normalized_regret_mean,spearman_mean,ndcg_at_5_mean
train_mean_map,none,train_mean_map,0,0,0,1.6996491034825643,,0.2592069776524295,0.40982289793155524,0.7547194964393259
raw_rgb_16x16_mlp,raw_rgb,flattened_rgb,768,106160,29,1.4275850327809652,,0.27491918216626854,0.401598557572814,0.7525078125071049
imagenet_vit_pooled_patch,imagenet_vit,pooled_patch,768,106160,43,1.0904162830776638,,0.23450793802378744,0.4663354911391438,0.7821072324995012
imagenet_vit_cls_token,imagenet_vit,cls_token,768,106160,20,1.224266014099121,,0.25190457486865164,0.4478428060728413,0.7709258265381674
dinov2_pooled_patch,dinov2,pooled_patch,768,106160,32,1.1462624751196968,,0.21301773396099136,0.49331895126339487,0.8020519381880413
dinov2_cls_token,dinov2,cls_token,768,106160,14,1.2292171647813586,,0.21922801949502138,0.492417276584591,0.7983070156915895
vggt_pooled_patch,vggt,pooled_patch,2048,272560,50,1.1510010549757215,,0.2288661458421979,0.4769024069555316,0.7881649290777238
vggt_max_pooled_patch,vggt,max_pooled_patch,2048,272560,50,1.1517303567462498,,0.21135479541527022,0.5092353519640972,0.8064525832987983
vggt_camera_token,vggt,pooled_camera,2048,272560,50,1.1530028009414672,,0.22923576103711812,0.4951065572682035,0.7931862546973815
vggt_pooled_register,vggt,pooled_register,2048,272560,50,1.1510451740688747,,0.22456940939009415,0.48643735213870337,0.79391756266064
vggt_camera_patch,vggt,pooled_camera+pooled_patch,4096,538800,50,1.1118443992402818,,0.22111795679192345,0.49767844816783813,0.7967892438290063
pun_upnet,pun_upnet,vit_small_patch16_224_official_pretrained,384,21684144,,0.8488410165574816,2.7168278630574543,0.16942784240893755,0.6018496714470776,0.8463033200669995
