policy,acquired_view_count,coverage_mean,object_count
random,1,0.07964814603744022,1
random,2,0.4089422752563656,1
random,3,0.6681041363972222,1
random,4,0.7640214207219755,1
random,5,0.7793672431992826,1
random,6,0.8214299760415076,1
random,7,0.8315587461462116,1
random,8,0.8412676360731021,1
random,9,0.8641444274809398,1
random,10,0.8672489327010197,1
farthest,1,0.07964814603744022,1
farthest,2,0.13604127532160326,1
farthest,3,0.4610649158043729,1
farthest,4,0.6221808068333894,1
farthest,5,0.7394992099858392,1
farthest,6,0.846781603174501,1
farthest,7,0.8585693127328164,1
farthest,8,0.8664242537258193,1
farthest,9,0.873087098274419,1
farthest,10,0.8790538493626388,1
pun,1,0.07964814603744022,1
pun,2,0.4220562844203951,1
pun,3,0.6283775611187911,1
pun,4,0.6501976690944944,1
pun,5,0.6785387640879219,1
pun,6,0.6871329680600857,1
pun,7,0.7273280695587561,1
pun,8,0.7303829373996936,1
pun,9,0.7358606865192985,1
pun,10,0.7639011032410977,1
vggt,1,0.07964814603744022,1
vggt,2,0.27972300095112,1
vggt,3,0.42202761056034205,1
vggt,4,0.48912361821435085,1
vggt,5,0.5239292299865431,1
vggt,6,0.5674147313462345,1
vggt,7,0.6224824703574574,1
vggt,8,0.6719742249581829,1
vggt,9,0.7456959886195644,1
vggt,10,0.7932452432602,1
oracle,1,0.07964814603744022,1
oracle,2,0.4220562844203951,1
oracle,3,0.6870487172869916,1
oracle,4,0.8104947826916373,1
oracle,5,0.8472674322800257,1
oracle,6,0.8664072257247846,1
oracle,7,0.8803149859498332,1
oracle,8,0.8910863212356477,1
oracle,9,0.8971301761339536,1
oracle,10,0.9017307566143992,1
