policy,acquired_view_count,coverage_mean,object_count
random,1,0.19528458213782865,300
random,2,0.430915863541955,300
random,3,0.5735606582980453,300
random,4,0.6719079957051936,300
random,5,0.7343299436782618,300
random,6,0.7794665901171438,300
random,7,0.805188261850088,300
random,8,0.8262528266972858,300
random,9,0.8396199851846531,300
random,10,0.8510870184076302,300
farthest,1,0.19528458213782865,300
farthest,2,0.3767747803017897,300
farthest,3,0.5649292148078154,300
farthest,4,0.6589732115934246,300
farthest,5,0.7375283065850285,300
farthest,6,0.826405793858842,300
farthest,7,0.8382393292250072,300
farthest,8,0.846902903357501,300
farthest,9,0.8540205308003553,300
farthest,10,0.8623288668564715,300
pun,1,0.19528458213782865,300
pun,2,0.47572790513219615,300
pun,3,0.6360836238894816,300
pun,4,0.7141334602343682,300
pun,5,0.758645011163114,300
pun,6,0.7921018976365608,300
pun,7,0.8121608240914211,300
pun,8,0.8291779834932931,300
pun,9,0.8407768243424975,300
pun,10,0.8496625655957196,300
vggt,1,0.19528458213782865,300
vggt,2,0.4079021847531545,300
vggt,3,0.5537052206726687,300
vggt,4,0.6143043035712966,300
vggt,5,0.6795222949142112,300
vggt,6,0.7242266645949278,300
vggt,7,0.7532386702383821,300
vggt,8,0.7819868904872317,300
vggt,9,0.8000413730282706,300
vggt,10,0.816147450195187,300
oracle,1,0.19528458213782865,300
oracle,2,0.5511925027082024,300
oracle,3,0.7668395367580542,300
oracle,4,0.8162688987245721,300
oracle,5,0.8422874586829888,300
oracle,6,0.856327403588155,300
oracle,7,0.8661868860017766,300
oracle,8,0.8737206745829698,300
oracle,9,0.8798472943333115,300
oracle,10,0.8849470611338567,300
