object_id,policy,seed,coverage_target,stop_reason,acquired_views,initial_coverage,final_coverage,coverage_auc,reachable_coverage_ceiling,initial_reachable_normalized_coverage,final_reachable_normalized_coverage,reachable_normalized_coverage_auc,coverage_interval_start,coverage_interval_end,num_steps,normalized_regret_mean,normalized_regret_valid_count,spearman_mean,spearman_valid_count,ndcg_at_5_mean,ndcg_at_5_valid_count,median_policy_ms,peak_process_rss_bytes,peak_process_rss_delta_bytes,peak_cuda_allocated_bytes
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.9017307566143992,6.792495377049188,0.941363767869644,0.08460931762615868,0.9578983039203469,7.215590411367716,1,10,9,0.0,9,1.0,9,1.0,9,0.004410000201460207,671244288,4096,
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.9400091661053289,7.184952717643751,0.9762990062799165,0.14849254645009843,0.9628291743193859,7.359377272154818,1,10,9,0.0,9,1.0,9,1.0,9,0.0038130001485114917,671649792,0,
02691156/1659db64bbf46bcdc1955ee4b5680e91,oracle,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.8054778668035212,6.013295417536978,0.8741666209605004,0.10999620561155977,0.9214237280285231,6.878889302510546,1,10,9,0.0,9,1.0,9,1.0,9,0.004242999693815364,671789056,0,
02691156/165c4491d10067b3bd46d022fd7d80aa,oracle,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9474546686945355,7.145508684733818,0.9835397706830906,0.09376162771694928,0.963310988468221,7.265093794601818,1,10,9,0.0,9,1.0,9,1.0,9,0.003662999915832188,671817728,0,
02691156/1667ab313638fb366cf1b4a8fc3914e,oracle,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.9229253750054438,6.926990567240215,0.9687575041274639,0.08876572278040377,0.9526897815740794,7.150386487565003,1,10,9,0.0,9,1.0,9,1.0,9,0.004444000296643935,672030720,0,
02691156/16689e54c884aa01639c7058eaf33ae,oracle,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.8121518263165041,6.185156975626487,0.8986300821812551,0.08981442570423402,0.9037665691595352,6.882873273742612,1,10,9,0.0,9,1.0,9,1.0,9,0.003817000106209889,672145408,0,
02691156/166d333d38897d1513d521050081b441,oracle,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8674653254603504,6.564730790168584,0.9283641770283879,0.1530448450561177,0.9344019803058651,7.071288350635965,1,10,9,0.0,9,1.0,9,1.0,9,0.0038510002013936173,672194560,0,
02691156/16715d886ecf0a97ce2cec85ea6ae00d,oracle,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.7638828096679248,5.849817262570124,0.8347159587871376,0.16461553367407755,0.915141014888304,7.008153133995486,1,10,9,0.0,9,1.0,9,1.0,9,0.004584000180329895,672206848,0,
02691156/167250e2014c72dbb87697d3904b168b,oracle,0,vis_a,view_budget_exhausted,10,0.11972974763032487,0.8754713368915622,6.693148402104745,0.9253877893979147,0.12938332340458553,0.9460588813919518,7.232803889123618,1,10,9,0.0,9,1.0,9,1.0,9,0.003924999873561319,672223232,0,
02691156/167740d2a5f5cb6c7f4561609781d8c9,oracle,0,vis_a,view_budget_exhausted,10,0.06662256831444521,0.863482599733101,6.865877419315711,0.8951369303341754,0.07442723683579167,0.9646374431348095,7.670197917934766,1,10,9,0.0,9,1.0,9,1.0,9,0.0036520000321615953,672260096,0,
02828884/1b9ddee986099bb78880edc6251fa529,oracle,0,vis_a,view_budget_exhausted,10,0.17948997164644076,0.9783739937244806,7.954400906908175,0.9924067194406581,0.1808633175595639,0.9858599045721027,8.015263047988478,1,10,9,0.0,9,1.0,9,1.0,9,0.0034539998523541726,672272384,0,
02828884/1bace34d2c1dc49b3b5ee89f1f802f5a,oracle,0,vis_a,view_budget_exhausted,10,0.32821131666750597,0.9781890675249695,7.882612182797303,0.9966009318543814,0.3293307342757559,0.9815253390390145,7.90949710244609,1,10,9,0.0,9,1.0,9,1.0,9,0.0039050000850693323,672387072,0,
02828884/1bb14f4633ad52e3ae944a46a2846086,oracle,0,vis_a,view_budget_exhausted,10,0.24701657759424817,0.925253248287534,7.377111279254686,0.9516617427868137,0.2595634210017661,0.9722501249005282,7.7518207862930435,1,10,9,0.0,9,1.0,9,1.0,9,0.003347000074427342,672411648,0,
02828884/1bdfb8796887adf92056b4bd5d870b47,oracle,0,vis_a,view_budget_exhausted,10,0.451846130725702,0.9925482590816758,8.415597336334677,0.9992336400936923,0.4521926730602615,0.9933094916506316,8.422051659055029,1,10,9,0.0,9,1.0,9,1.0,9,0.003470000137895113,672444416,0,
02828884/1be0e167a93a1069acb4ead41419080a,oracle,0,vis_a,view_budget_exhausted,10,0.26427571578185466,0.9950449531718352,8.135464110866188,0.9989425039883563,0.2645554821490858,0.9960983231757986,8.144076439219184,1,10,9,0.0,9,1.0,9,1.0,9,0.003520999598549679,672456704,0,
02828884/1be83cdaf803fa3b827358da75ee7655,oracle,0,vis_a,view_budget_exhausted,10,0.28556442886228633,0.9468741429711554,7.503490976264942,0.9856721954601797,0.28971541469622686,0.9606379761266262,7.612562280669585,1,10,9,0.0,9,1.0,9,1.0,9,0.003367999852343928,672579584,0,
02828884/1bf5b1fa54aeec162701a18243b45d3,oracle,0,vis_a,view_budget_exhausted,10,0.2045744918978715,0.9609025513554637,7.632401878523752,0.9868474681214847,0.20730102524080002,0.9737092938836753,7.7341252068593995,1,10,9,0.0,9,1.0,9,1.0,9,0.0035230000321462285,672604160,0,
02828884/1c310698c57a3d378fd6b27be619556b,oracle,0,vis_a,view_budget_exhausted,10,0.3583522628834148,0.9901840671596138,8.199439729683657,0.9974126388039685,0.3592818548129962,0.9927526769131152,8.220709674900336,1,10,9,0.0,9,1.0,9,1.0,9,0.003684000148496125,672636928,0,
02828884/1c47c37d6c785d4fe7fd9a18c19837e5,oracle,0,vis_a,view_budget_exhausted,10,0.3551392472086734,0.9895435856170205,8.015700169994041,0.9972054972451736,0.3561344659548729,0.9923166171372706,8.038162838189104,1,10,9,0.0,9,1.0,9,1.0,9,0.0035139996725774836,672661504,0,
02828884/1c79aa69e4ec26b65dc236dd32108e81,oracle,0,vis_a,view_budget_exhausted,10,0.4037709558774869,0.9842569911840402,8.080816244709652,0.9986528186857122,0.4043156423559431,0.9855847525463175,8.091717254996084,1,10,9,0.0,9,1.0,9,1.0,9,0.003594000190787483,672690176,0,
02933112/18d94e539b0ed30d105e720ebc569399,oracle,0,vis_a,view_budget_exhausted,10,0.22687022825688632,0.9862482618318238,8.02529506181178,0.9954454667124282,0.22790824394042503,0.9907607144859686,8.062013771900766,1,10,9,0.0,9,1.0,9,1.0,9,0.0035110001590510365,672714752,0,
02933112/18efc77e6837f7d311e76965808086c8,oracle,0,vis_a,view_budget_exhausted,10,0.2488799298906985,0.8504175412499371,6.778651073164049,0.926894117968192,0.2685095579592827,0.9174915718681048,7.313296029996676,1,10,9,0.0,9,1.0,9,1.0,9,0.0036850001379207242,672743424,0,
02933112/18f41e91af76c77de25f00a04866d020,oracle,0,vis_a,view_budget_exhausted,10,0.3451391857109801,0.9954061857120519,8.248728150416198,0.9996700581919729,0.3452530991427383,0.9957347202259587,8.251450648962164,1,10,9,0.0,9,1.0,9,1.0,9,0.0038690000110364053,672755712,0,
02933112/190cb7264781df604da5feafe6f1c8fc,oracle,0,vis_a,view_budget_exhausted,10,0.19742724682895113,0.9348403944783223,7.123530667799855,0.9823593995434167,0.20097252280653274,0.9516276781316692,7.251450610754829,1,10,9,0.0,9,1.0,9,1.0,9,0.0036950000321667176,672768000,0,
02933112/19127cb1f535bf2c62c9e7b595148d6a,oracle,0,vis_a,view_budget_exhausted,10,0.20962347540975867,0.9305636535265353,7.160218746859287,0.9853955741413679,0.21273027899726027,0.9443554222753529,7.26633946280751,1,10,9,0.0,9,1.0,9,1.0,9,0.0038839998524053954,672841728,0,
02933112/1919dec93dff59e0ed3ffec8035a48e8,oracle,0,vis_a,view_budget_exhausted,10,0.16753636955932968,0.7811589361706569,5.815085492959364,0.9177108839101276,0.18255898725478853,0.8512037395070893,6.336511416518017,1,10,9,0.0,9,1.0,9,1.0,9,0.0034570002753753215,672948224,0,
02933112/192caea21a57389265dbe89d2f371f01,oracle,0,vis_a,view_budget_exhausted,10,0.27196155989257764,0.9998983029306099,8.384270362639398,0.9999979121527383,0.2719621277079613,0.9999003905699023,8.384287867751866,1,10,9,0.0,9,1.0,9,1.0,9,0.003696000021591317,672968704,0,
02933112/19492e2263ea82e4da5feafe6f1c8fc,oracle,0,vis_a,view_budget_exhausted,10,0.1664906807088527,0.8898280921796062,6.826722854005751,0.9537493133163648,0.17456440427719255,0.9329790121531071,7.157774856233404,1,10,9,0.0,9,1.0,9,1.0,9,0.0036619999264075886,672980992,0,
02933112/195b0fd745df898d86d53ab0fe94e911,oracle,0,vis_a,view_budget_exhausted,10,0.141271853966764,0.8328031488443236,6.166946521044121,0.9523947474063736,0.14833329809040333,0.8744306403539813,6.475200055269488,1,10,9,0.0,9,1.0,9,1.0,9,0.0035960001696366817,673026048,0,
