object_id,policy,seed,step_index,history_anchor_ids,acquired_view_count_before,acquired_view_count_after,valid_candidate_mask,selected_anchor,selected_true_gain,oracle_true_gain,coverage_before,coverage_after,reachable_normalized_coverage_before,reachable_normalized_coverage_after,normalized_regret,spearman,ndcg_at_5,policy_ms,acquisition_ms,process_rss_bytes,process_rss_delta_bytes,peak_cuda_allocated_bytes,profiling_mode
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",18,0.34240813838295486,0.34240813838295486,0.07964814603744022,0.4220562844203951,0.08460931762615868,0.4483455799191537,0.0,1.0,1.0,0.004816000000573695,0.331062999975984,668905472,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,1,"[0, 18]",2,3,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",22,0.26499243286659635,0.26499243286659635,0.4220562844203951,0.6870487172869916,0.4483455799191537,0.7298440207039402,0.0,0.9999999999999999,1.0,0.004155000169703271,0.28328400003374554,671084544,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,2,"[0, 18, 22]",3,4,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",28,0.12344606540464588,0.12344606540464588,0.6870487172869916,0.8104947826916373,0.7298440207039402,0.8609793688212898,0.0,0.9999999999999999,1.0,0.003510000169626437,0.2620699997351039,671129600,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,3,"[0, 18, 22, 28]",4,5,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",32,0.0367726495883883,0.0367726495883883,0.8104947826916373,0.8472674322800257,0.8609793688212898,0.900042535307511,0.0,1.0,1.0,0.0036830001590715256,0.3040599999621918,671129600,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,4,"[0, 18, 22, 28, 32]",5,6,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",37,0.019139793444758815,0.019139793444758815,0.8472674322800257,0.8664072257247846,0.900042535307511,0.9203745197093255,0.0,1.0,1.0,0.004106000233150553,0.34816100014722906,671158272,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,5,"[0, 18, 22, 28, 32, 37]",6,7,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, false, true, true, true, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true]",19,0.013907760225048658,0.013907760225048658,0.8664072257247846,0.8803149859498332,0.9203745197093255,0.9351485748618013,0.0,1.0,1.0,0.004410000201460207,0.5600750000667176,671191040,4096,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,6,"[0, 18, 22, 28, 32, 37, 19]",7,8,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, false, true, true, true, true, true, false, true, true, true, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true]",17,0.010771335285814476,0.010771335285814476,0.8803149859498332,0.8910863212356477,0.9351485748618013,0.9465908415534444,0.0,0.9999999999999999,1.0,0.005059000159235438,0.43505399980858783,671191040,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,7,"[0, 18, 22, 28, 32, 37, 19, 17]",8,9,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, true, true, false, true, true, true, true, true, false, true, true, true, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true]",38,0.006043854898305964,0.006043854898305964,0.8910863212356477,0.8971301761339536,0.9465908415534444,0.9530111597179979,0.0,1.0,1.0,0.004889000138064148,0.4027109998787637,671215616,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,8,"[0, 18, 22, 28, 32, 37, 19, 17, 38]",9,10,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, true, true, false, true, true, true, true, true, false, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true]",26,0.0046005804804456,0.0046005804804456,0.8971301761339536,0.9017307566143992,0.9530111597179979,0.9578983039203469,0.0,1.0,1.0,0.005348999820853351,0.4094779997103615,671244288,0,,analytic_cpu
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",37,0.3482213622020308,0.3482213622020308,0.14497312553920544,0.4931944877412363,0.14849254645009843,0.5051674585028018,0.0,1.0,0.9999999999999998,0.004769000042870175,0.3483570003481873,671453184,0,,analytic_cpu
