policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,reachable_coverage_ceiling_mean,object_count
pun,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
pun,2,0.47570865858926265,0.5041762606892921,0.9320595447834561,300
pun,3,0.6360548636331053,0.675617378814351,0.9320595447834561,300
pun,4,0.7141086325816794,0.7598431773352726,0.9320595447834561,300
pun,5,0.7585231439682489,0.8084967018324479,0.9320595447834561,300
pun,6,0.7919122869154979,0.8445944332930935,0.9320595447834561,300
pun,7,0.811578479890522,0.8659141409207882,0.9320595447834561,300
pun,8,0.828923080597207,0.8848521965643525,0.9320595447834561,300
pun,9,0.8407900922776825,0.8978058344447621,0.9320595447834561,300
pun,10,0.8496807379290665,0.9075205184191705,0.9320595447834561,300
