object_id,policy,seed,coverage_target,stop_reason,acquired_views,initial_coverage,final_coverage,coverage_auc,reachable_coverage_ceiling,initial_reachable_normalized_coverage,final_reachable_normalized_coverage,reachable_normalized_coverage_auc,coverage_interval_start,coverage_interval_end,num_steps,normalized_regret_mean,normalized_regret_valid_count,spearman_mean,spearman_valid_count,ndcg_at_5_mean,ndcg_at_5_valid_count,median_policy_ms,peak_process_rss_bytes,peak_process_rss_delta_bytes,peak_cuda_allocated_bytes
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.8672489327010197,6.452284400685837,0.941363767869644,0.08460931762615868,0.92126865543556,6.854188169242692,1,10,9,0.5202208473890657,9,0.02000310136126736,9,0.5217147830583208,9,0.11002000019288971,690917376,188416,
02691156/162ed8d0d989f3acc1ccec171a275967,random,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.8852237962951839,6.422842791291435,0.9762990062799165,0.14849254645009843,0.9067138147238673,6.5787660849568965,1,10,9,0.5715382370740714,9,-0.0049336459868605485,9,0.584305299750528,9,0.09519100012767012,690995200,0,
02691156/1659db64bbf46bcdc1955ee4b5680e91,random,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.724669377539024,4.875972006771784,0.8741666209605004,0.10999620561155977,0.8289831253712083,5.577851967642343,1,10,9,0.731404868057542,9,-0.007177846895873478,9,0.4757448279638878,9,0.09443099997952231,691077120,0,
02691156/165c4491d10067b3bd46d022fd7d80aa,random,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9231144522719397,5.880042729286409,0.9835397706830906,0.09376162771694928,0.9385634214169253,5.978449376991217,1,10,9,0.5861938125095475,9,0.10015951850479979,9,0.5895275005553859,9,0.09846900002230541,691077120,0,
02691156/1667ab313638fb366cf1b4a8fc3914e,random,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.8847723923591295,6.235231648369797,0.9687575041274639,0.08876572278040377,0.9133063626237634,6.4363182961722885,1,10,9,0.5699446166916151,9,0.011524312370180438,9,0.5620568238756909,9,0.09352500001114095,691077120,0,
02691156/16689e54c884aa01639c7058eaf33ae,random,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.7885163377517839,5.106308680207001,0.8986300821812551,0.08981442570423402,0.8774648805855788,5.682325554707004,1,10,9,0.5783578710522845,9,0.0009168149588341868,9,0.6150072979052027,9,0.10210500022367341,691109888,0,
02691156/166d333d38897d1513d521050081b441,random,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8355433888629936,5.953452034959341,0.9283641770283879,0.1530448450561177,0.9000168355671526,6.412841191283163,1,10,9,0.5040420259772193,9,0.06797840408768038,9,0.6411078052861935,9,0.10487100007594563,691109888,0,
02691156/16715d886ecf0a97ce2cec85ea6ae00d,random,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.7347776375077064,5.4143885876656626,0.8347159587871376,0.16461553367407755,0.8802726601458011,6.486504218192857,1,10,9,0.5734826035588871,9,0.020951815393116226,9,0.5107014403866508,9,0.0980989998424775,691109888,0,
02691156/167250e2014c72dbb87697d3904b168b,random,0,vis_a,view_budget_exhausted,10,0.11972974763032487,0.8260923535498945,6.341270134391665,0.9253877893979147,0.12938332340458553,0.8926985670379066,6.852554363741374,1,10,9,0.6202978184930132,9,0.08275565963066289,9,0.5202237330281468,9,0.10091800004374818,691113984,0,
02691156/167740d2a5f5cb6c7f4561609781d8c9,random,0,vis_a,view_budget_exhausted,10,0.06662256831444521,0.8472592078504693,6.119404397359827,0.8951369303341754,0.07442723683579167,0.9465135211594585,6.836277434196923,1,10,9,0.6527498860528981,9,-0.051641315772555575,9,0.40496246323359125,9,0.09897800009639468,691126272,0,
02828884/1b9ddee986099bb78880edc6251fa529,random,0,vis_a,view_budget_exhausted,10,0.17948997164644076,0.9457059819370754,7.132358161023086,0.9924067194406581,0.1808633175595639,0.9529419374247041,7.18693054098126,1,10,9,0.6604015130731873,9,0.00881214835251187,9,0.43950110346579846,9,0.10645600013958756,691130368,0,
02828884/1bace34d2c1dc49b3b5ee89f1f802f5a,random,0,vis_a,view_budget_exhausted,10,0.32821131666750597,0.9628057650089175,7.338737525956721,0.9966009318543814,0.3293307342757559,0.9660895692897045,7.363767473407322,1,10,9,0.4393533124533376,9,0.03327053943061307,9,0.5801010661483603,9,0.10262199975841213,691179520,0,
02828884/1bb14f4633ad52e3ae944a46a2846086,random,0,vis_a,view_budget_exhausted,10,0.24701657759424817,0.8726602636469986,5.7919842630190415,0.9516617427868137,0.2595634210017661,0.9169857570312011,6.086179576850482,1,10,9,0.6069780422098998,9,-0.0038363854773705206,9,0.37371413163285044,9,0.0934320000851585,691191808,0,
02828884/1bdfb8796887adf92056b4bd5d870b47,random,0,vis_a,view_budget_exhausted,10,0.451846130725702,0.9856274843164312,8.293759616722232,0.9992336400936923,0.4521926730602615,0.9863834090133461,8.30012049628811,1,10,9,0.4604914370444214,9,0.03446137040171805,9,0.6240433557384644,9,0.09439499990548939,691208192,0,
02828884/1be0e167a93a1069acb4ead41419080a,random,0,vis_a,view_budget_exhausted,10,0.26427571578185466,0.9469113188909553,7.491295818520562,0.9989425039883563,0.2645554821490858,0.9479137338839199,7.499226220338985,1,10,9,0.6792929872970929,9,0.020472168484743352,9,0.4475108263865908,9,0.09426599990547402,691212288,0,
02828884/1be83cdaf803fa3b827358da75ee7655,random,0,vis_a,view_budget_exhausted,10,0.28556442886228633,0.9135846256601883,6.355309176567519,0.9856721954601797,0.28971541469622686,0.9268645599094576,6.447690424705977,1,10,9,0.5692732401505767,9,-0.026664105654360386,9,0.48495412459683734,9,0.10475099998075166,691253248,0,
02828884/1bf5b1fa54aeec162701a18243b45d3,random,0,vis_a,view_budget_exhausted,10,0.2045744918978715,0.9261675586545901,6.78653898880846,0.9868474681214847,0.20730102524080002,0.9385113592251476,6.876988803271685,1,10,9,0.5561266115567532,9,-0.028835004187737805,9,0.4277908121069772,9,0.10287599980074447,691269632,0,
02828884/1c310698c57a3d378fd6b27be619556b,random,0,vis_a,view_budget_exhausted,10,0.3583522628834148,0.9781769936943849,7.046088558202223,0.9974126388039685,0.3592818548129962,0.980714456222803,7.064366626285614,1,10,9,0.6647316808619128,9,-0.0411953793975544,9,0.4054690620684001,9,0.09544500017000246,691277824,0,
02828884/1c47c37d6c785d4fe7fd9a18c19837e5,random,0,vis_a,view_budget_exhausted,10,0.3551392472086734,0.9528733886732255,7.671560422857769,0.9972054972451736,0.3561344659548729,0.9555436580580255,7.693058696578398,1,10,9,0.5789238794916572,9,-0.03509914988375843,9,0.49662628837408146,9,0.09621800018067006,691302400,0,
02828884/1c79aa69e4ec26b65dc236dd32108e81,random,0,vis_a,view_budget_exhausted,10,0.4037709558774869,0.9644804650320432,7.658195444440025,0.9986528186857122,0.4043156423559431,0.9657815478870406,7.668526339833173,1,10,9,0.4934717818121998,9,-0.004710507726698686,9,0.5617892030993722,9,0.1184860002467758,691322880,0,
02933112/18d94e539b0ed30d105e720ebc569399,random,0,vis_a,view_budget_exhausted,10,0.22687022825688632,0.9795323294856455,7.608177438164823,0.9954454667124282,0.22790824394042503,0.9840140542511709,7.642987679969748,1,10,9,0.4363522937134678,9,-0.006944578116717948,9,0.5387958200288409,9,0.09997699999075849,691339264,0,
02933112/18efc77e6837f7d311e76965808086c8,random,0,vis_a,view_budget_exhausted,10,0.2488799298906985,0.8090731391059501,5.941841994909787,0.926894117968192,0.2685095579592827,0.8728862589822961,6.4104862461903025,1,10,9,0.6102745297988234,9,-0.06642006159650772,9,0.5257504454148391,9,0.10571299981165794,691343360,0,
02933112/18f41e91af76c77de25f00a04866d020,random,0,vis_a,view_budget_exhausted,10,0.3451391857109801,0.9455461482072218,6.85779619148892,0.9996700581919729,0.3452530991427383,0.9458582263805712,6.860059611960463,1,10,9,0.6901094900265616,9,0.03923542557617013,9,0.3838588623297125,9,0.10349500007578172,691367936,0,
02933112/190cb7264781df604da5feafe6f1c8fc,random,0,vis_a,view_budget_exhausted,10,0.19742724682895113,0.8706528632404432,6.598213836902875,0.9823593995434167,0.20097252280653274,0.8862875070418295,6.7167004662139025,1,10,9,0.5393110176773432,9,-0.017650903514439376,9,0.49895352871860177,9,0.09105399976760964,691380224,0,
02933112/19127cb1f535bf2c62c9e7b595148d6a,random,0,vis_a,view_budget_exhausted,10,0.20962347540975867,0.8801340535474899,6.4166954832838226,0.9853955741413679,0.21273027899726027,0.8931784114358353,6.511796532955874,1,10,9,0.6217309242290225,9,0.01846922038758015,9,0.5097179409088715,9,0.09097400015889434,691412992,0,
02933112/1919dec93dff59e0ed3ffec8035a48e8,random,0,vis_a,view_budget_exhausted,10,0.16753636955932968,0.7422052103042456,4.9692886947516985,0.9177108839101276,0.18255898725478853,0.808757118736461,5.414873880081766,1,10,9,0.6481883103802748,9,-0.01358455494052834,9,0.4878327778617646,9,0.12629000002561952,691433472,0,
02933112/192caea21a57389265dbe89d2f371f01,random,0,vis_a,view_budget_exhausted,10,0.27196155989257764,0.9996827339184569,7.736254054601213,0.9999979121527383,0.2719621277079613,0.9996848211076732,7.73627020675178,1,10,9,0.45189527302435906,9,0.138181778651926,9,0.5343830773698797,9,0.0970049995885347,691453952,0,
02933112/19492e2263ea82e4da5feafe6f1c8fc,random,0,vis_a,view_budget_exhausted,10,0.1664906807088527,0.7860424277164897,5.646814459243958,0.9537493133163648,0.17456440427719255,0.8241604127433373,5.920648518853375,1,10,9,0.6461543624074948,9,-0.03412313641381886,9,0.4724790279923249,9,0.09153999963018578,691470336,0,
02933112/195b0fd745df898d86d53ab0fe94e911,random,0,vis_a,view_budget_exhausted,10,0.141271853966764,0.8021628484543051,5.564080509761037,0.9523947474063736,0.14833329809040333,0.8422587909465163,5.842199912287967,1,10,9,0.33815549553149526,9,0.04985592315127976,9,0.6355970730302167,9,0.12271099967620103,691474432,0,
02933112/1971024c0cac65a824662341ce2b233,random,0,vis_a,view_budget_exhausted,10,0.27116747357681514,0.9587534672062256,7.52118412085121,0.9990134326850172,0.27143526273516344,0.9597002761308362,7.528611602985916,1,10,9,0.6412725917667793,9,0.08466902385265489,9,0.4622080926265284,9,0.09843199995884788,691478528,0,
02958343/100c3076c74ee1874eb766e5a46fceab,random,0,vis_a,view_budget_exhausted,10,0.10192885990868553,0.7814388408940682,5.482327898203841,0.944693717210978,0.10789619752062118,0.8271875070801915,5.803286079206004,1,10,9,0.5179861645158529,9,-0.005727035164389749,9,0.5676962967918106,9,0.09495199992670678,691531776,0,
02958343/10716a366de708b8fac96522b26f7fd,random,0,vis_a,view_budget_exhausted,10,0.1079411232620838,0.8050031733017134,5.9638974384780035,0.886734736297446,0.12172876379332011,0.9078286215142511,6.725683786089412,1,10,9,0.4937447386385293,9,0.032955154233478084,9,0.4945583537589085,9,0.09509100027571549,691572736,0,
02958343/1089cbe82dc0e72133d7c9e122eec9b6,random,0,vis_a,view_budget_exhausted,10,0.11290014098622514,0.845373517066127,5.705300505720633,0.9432251032645067,0.11969586114224187,0.896258500903215,6.048715715871598,1,10,9,0.6615892129143868,9,-0.004275067512644093,9,0.4089312801908741,9,0.09953200014933827,691572736,0,
02958343/109567d7d55b8fe515a520abec2f04dd,random,0,vis_a,view_budget_exhausted,10,0.10165890157805008,0.8858730421608361,6.269768858778795,0.9603647240233397,0.10585447282170213,0.9224339670136683,6.528528903594361,1,10,9,0.46029141245347865,9,-0.005534333368778178,9,0.565203769410293,9,0.10750699993877788,691605504,0,
02958343/10e99b1475098c0aaa69dfdc5532bb13,random,0,vis_a,view_budget_exhausted,10,0.06916908354371426,0.6665947740702645,4.938037802927569,0.8188339100112405,0.0844726661879022,0.8140781249046144,6.030573163316823,1,10,9,0.5034874074686487,9,0.011415514466593328,9,0.5571270244274306,9,0.09308299968324718,691625984,0,
02958343/1104f0924e03f2b6fc5886e868449015,random,0,vis_a,view_budget_exhausted,10,0.07802260672298844,0.6119000938314967,4.350041062652853,0.776520812320221,0.10047716105619788,0.7880021811690501,5.601963261815302,1,10,9,0.40124480583377375,9,0.016179793991935726,9,0.6529449551780007,9,0.09927100018103374,691662848,0,
02958343/1137cd58d6a45c6659a47b1880958de9,random,0,vis_a,view_budget_exhausted,10,0.08486955266953972,0.6106390842947969,4.085268105754932,0.742873872793586,0.11424490183022154,0.8219956397153684,5.4992755235720345,1,10,9,0.554543948009925,9,-0.06271467098679745,9,0.5509193801829155,9,0.09256699968318571,691675136,0,
02958343/114b662c64caba81bb07f8c2248e54bc,random,0,vis_a,view_budget_exhausted,10,0.11345668059755386,0.9036733912324317,6.716820673027538,0.9467530357523207,0.11983767288097207,0.9544974846733325,7.094585831129798,1,10,9,0.48124812998784505,9,0.0064186698984941455,9,0.5132403709703715,9,0.10679899969545659,691703808,0,
02958343/1159faf9bf78998493680c5a9a367b4a,random,0,vis_a,view_budget_exhausted,10,0.07797754125122597,0.6144528487480434,4.312387337954377,0.8207495000573146,0.09500772311866244,0.748648459371751,5.254206475487629,1,10,9,0.46907722861521606,9,-0.011882885517779912,9,0.6852768875558659,9,0.09563599996909034,691748864,0,
02958343/1166b049a7230db9f50f5d46dfed0533,random,0,vis_a,view_budget_exhausted,10,0.10349777675373936,0.7189562546171355,4.781215940570014,0.8698313778530854,0.11898602348560039,0.8265466996507538,5.496715871955543,1,10,9,0.69584421662828,9,0.006132224942010659,9,0.48376439816576894,9,0.0978650000433845,691777536,0,
02958343/119033fe083145e22f31600ac759c763,random,0,vis_a,view_budget_exhausted,10,0.08193779880565838,0.6384989325066647,4.84167644653161,0.7821700454431019,0.10475701451752777,0.8163172908839189,6.1900560814608845,1,10,9,0.3985745853404783,9,0.06217281617465188,9,0.6715396543588443,9,0.09136900007433724,691806208,0,
02958343/1198255e3d20d2f323f3ca54768fe2ee,random,0,vis_a,view_budget_exhausted,10,0.13742383352106502,0.8808477566642928,6.869490046981076,0.9656360830952618,0.14231431066718733,0.9121943267082694,7.113953348720697,1,10,9,0.5207971076588837,9,0.02048812108606858,9,0.5157089989318668,9,0.10680900004444993,691822592,0,
02958343/11b09de6631b3b3ad997cda1a938a10d,random,0,vis_a,view_budget_exhausted,10,0.07750761003615965,0.6642858967147542,4.321835824072648,0.8065750938001877,0.0960947227752616,0.8235884071066015,5.358255985453592,1,10,9,0.6375385108632664,9,0.03182573072530357,9,0.4531723398414082,9,0.10064800017062225,691843072,0,
02958343/11dba0c2ec8127356c2fe9dcfa1ee2f8,random,0,vis_a,view_budget_exhausted,10,0.08581707297869139,0.5791549789244512,3.8721579186853434,0.7646609128720453,0.11222892596453614,0.7574010508123936,5.063888912722928,1,10,9,0.5038280387620178,9,0.059645232571649526,9,0.549754868904629,9,0.11085000005550683,691888128,0,
02958343/11e5b7d67058e1d75f67208653687b70,random,0,vis_a,view_budget_exhausted,10,0.0929827611006673,0.6644307169813946,4.591044536224119,0.7881391252577115,0.11797759827018248,0.8430373466919742,5.825170187716421,1,10,9,0.4895617066726135,9,-0.021010919107039363,9,0.5098233393800685,9,0.10369800020271214,691900416,0,
02958343/1213742aa7815fd0e23d60a1b706b44f,random,0,vis_a,view_budget_exhausted,10,0.0793475525347323,0.6355518197123484,4.552965002523672,0.7902548967937539,0.10040754300500204,0.8042364840647347,5.761387902809712,1,10,9,0.528862772118575,9,0.014371554384056231,9,0.5704744676145163,9,0.09781600010683178,691904512,0,
02958343/12243301d1c8148e33d7c9e122eec9b6,random,0,vis_a,view_budget_exhausted,10,0.11923139332727528,0.8571402379226092,6.312216926260117,0.9599954341094844,0.1241999587611344,0.8928586610598974,6.575257237671641,1,10,9,0.6291074624519299,9,0.06451747380935621,9,0.41052919294572604,9,0.1070890002665692,691912704,0,
02958343/12498dd65e8d65ac3b6f5204eb590354,random,0,vis_a,view_budget_exhausted,10,0.11003025269095908,0.7285026872714566,4.943985307476635,0.908198523193124,0.12115220393015512,0.8021403566151187,5.443727534475765,1,10,9,0.49086948882098114,9,0.031549262575107,9,0.6280952307558605,9,0.09454700011701789,691912704,0,
02958343/1254c6ad2b420879d7622e6da48b19e5,random,0,vis_a,view_budget_exhausted,10,0.09243598696963405,0.7629728262371777,5.49165399898176,0.9380792111675138,0.09853750714141736,0.8133351823110946,5.854147425511075,1,10,9,0.5480171338045977,9,0.07227333312366829,9,0.5157507566507652,9,0.09092499976759427,691912704,0,
02958343/125a4780c2d5095d19454008aa267bf,random,0,vis_a,view_budget_exhausted,10,0.10039415745833076,0.9268112995681889,7.0836686532203945,0.9677827050695893,0.10373625911315684,0.9576646645091117,7.319482582312769,1,10,9,0.4771453909064114,9,0.03532723968688149,9,0.5512465684056331,9,0.09131600018008612,691912704,0,
02958343/12796524ffbadb755400f0dc3171dfcd,random,0,vis_a,view_budget_exhausted,10,0.13318378156889452,0.8123867624274973,5.842423886987175,0.9216969685864455,0.14449844808880186,0.8814033137956491,6.3387686909151615,1,10,9,0.4898420885827457,9,0.03815227644701294,9,0.601750366681266,9,0.09167700000034529,691912704,0,
02958343/127b9ba77b54ba59bda733a39f84326d,random,0,vis_a,view_budget_exhausted,10,0.09364085624083979,0.6512663206224114,4.595298704250042,0.872367518474062,0.10734106240525276,0.7465504008695796,5.267617841031153,1,10,9,0.5880128119813013,9,0.041534416583473815,9,0.5936560268997715,9,0.09137999995800783,691912704,0,
02958343/128ad72f92a3e96db96212c8f6cd06e,random,0,vis_a,view_budget_exhausted,10,0.08867832085143443,0.8534721955186702,6.087248398116458,0.9320709287194074,0.09514117232823847,0.9156730128803332,6.530885376373513,1,10,9,0.5527347966531851,9,-0.015228650664795871,9,0.5123938192529266,9,0.09185899989461177,691912704,0,
02958343/12909f5d613953b8b3c9b3f81618206b,random,0,vis_a,view_budget_exhausted,10,0.08729929879974857,0.5911913821502297,3.9085746457472235,0.6935861581902031,0.12586655279791262,0.8523690606699024,5.63531235390567,1,10,9,0.5840892653383208,9,0.03077456115746481,9,0.5546284106654529,9,0.0969329998952162,691912704,0,
02958343/12941cb870df79b9815337ac44abb964,random,0,vis_a,view_budget_exhausted,10,0.10274281901708775,0.6527731996139221,4.780904302226729,0.7827865185678047,0.13125266797525742,0.833909608980292,6.107545529749192,1,10,9,0.46327082610288994,9,0.02360466219993785,9,0.5794629257770608,9,0.09084400016945438,691912704,0,
02958343/12b5e4f52c22b348d8499d8846cb4c3b,random,0,vis_a,view_budget_exhausted,10,0.07033431700815206,0.6384381076338648,4.382214728841593,0.7782408490517951,0.09037602831288931,0.8203605714243022,5.63092355558162,1,10,9,0.5748957874353136,9,-0.03227126663707837,9,0.4382574584319478,9,0.09130099988396978,691912704,0,
02958343/12d463649ed6c176ab98a7077c964a60,random,0,vis_a,view_budget_exhausted,10,0.1116388972591339,0.8521260657738549,5.803473388215389,0.9622248647801754,0.11602163002162524,0.8855789295868246,6.031306818849686,1,10,9,0.6523958767293565,9,0.09656322508245378,9,0.48794026507512434,9,0.1036110002132773,691912704,0,
02958343/12f2905dc029f59a2479fbc7da5ed22b,random,0,vis_a,view_budget_exhausted,10,0.0759845421641519,0.8826867276010382,6.423263792981454,0.9759770441918162,0.07785484568140937,0.9044134110059632,6.58136769835648,1,10,9,0.6167430070953275,9,-0.006442038943331313,9,0.44671409352214436,9,0.09516499994788319,691912704,0,
02958343/1328a95d69cefe32f200a72c9245aee7,random,0,vis_a,view_budget_exhausted,10,0.11900442541519272,0.7889473587561231,5.832492242802104,0.8897656387432231,0.13374805705385992,0.8866911964261691,6.555088203945915,1,10,9,0.3813779154230452,9,0.03826986029117596,9,0.5584260522632197,9,0.09901699968395405,691912704,0,
02958343/1355f3aa779b599b16abce8cb03e7794,random,0,vis_a,view_budget_exhausted,10,0.10914404025819927,0.6379858717287008,4.396257949362959,0.7510624104708032,0.14531953501678024,0.8494445505917139,5.853385668185906,1,10,9,0.4182186694405991,9,-0.026698616704070824,9,0.5751957506561411,9,0.09622100014894386,691912704,0,
02958343/137f67657cdc9da5f985cd98f7d73e9a,random,0,vis_a,view_budget_exhausted,10,0.06796123603145544,0.6189567224041183,4.410357714265293,0.7355394955018729,0.09239644702570889,0.8415003221299382,5.996085514423696,1,10,9,0.5313963914537267,9,0.026518392072185988,9,0.6365974793787905,9,0.10077399974761647,691912704,0,
02958343/139718b631cbca546a36136419d55d5c,random,0,vis_a,view_budget_exhausted,10,0.131775825791743,0.793612564690552,5.811257345543261,0.9062629379770765,0.14540573190148068,0.8756979144066311,6.412330353611187,1,10,9,0.5066924286334191,9,0.0007226077375075524,9,0.5701082517412394,9,0.09454200016989489,691912704,0,
02958343/1399eab8ad7262eb7f3efc94c2d31dc5,random,0,vis_a,view_budget_exhausted,10,0.08102381802632877,0.6484615712862072,4.877307187812627,0.7583503061656199,0.10684220388332456,0.855095021408993,6.431469926442473,1,10,9,0.47972307254132524,9,-0.04359016409968988,9,0.5270531421408037,9,0.10633499960022164,691912704,0,
02958343/139df45393b6847838805e546aa28d99,random,0,vis_a,view_budget_exhausted,10,0.07963879449300498,0.5001151619954858,3.1968206506878523,0.7863603567217082,0.10127518994601228,0.6359872515451281,4.065338013751375,1,10,9,0.7985498748609208,9,-0.10135852543202827,9,0.3762140106353141,9,0.09040199984156061,691933184,0,
02958343/13d0f68f32a86bdfe3857ce739e6606f,random,0,vis_a,view_budget_exhausted,10,0.07425366996934457,0.6322192521588952,3.9483455684036617,0.8586544819459656,0.08647677445421789,0.7362906331381384,4.598293785709404,1,10,9,0.5744302295892442,9,-0.05158088629109009,9,0.48365388305745327,9,0.09226000020134961,691937280,0,
02958343/14121abc9e2a868e52ab7aae4be20d81,random,0,vis_a,view_budget_exhausted,10,0.06939345482805881,0.57521074663483,4.133168380702639,0.7575357268087193,0.09160420079511435,0.7593183084024668,5.45607056463791,1,10,9,0.5156629109392522,9,-0.017573322032792587,9,0.5766137640253973,9,0.09438600000066799,691937280,0,
02958343/1424d894bfd59cdc65e9f24f8c34a52,random,0,vis_a,view_budget_exhausted,10,0.07164326601697199,0.7470861823791616,5.628140329229049,0.880204917062638,0.0813938488960675,0.848763927463946,6.394125072614805,1,10,9,0.4369815410553202,9,-0.040158092163205664,9,0.5425737981251282,9,0.09618899957786198,691937280,0,
02958343/14330011009dacfed49701eac14326ae,random,0,vis_a,view_budget_exhausted,10,0.06402239435516,0.6282809686110187,4.018292871829616,0.8755523264685894,0.07312229368789966,0.7175824329598859,4.589437718744698,1,10,9,0.7013003280572179,9,0.006663260642896167,9,0.5486559595792654,9,0.09679999993750243,691937280,0,
02958343/147889b73fa491d82e877e82c90c24d,random,0,vis_a,view_budget_exhausted,10,0.0818428528465906,0.9013909420998101,6.625090666763278,0.9892474856555487,0.08273243453568695,0.9111885096199983,6.697101345042087,1,10,9,0.5773067172713486,9,0.007843982303613313,9,0.4852440934169208,9,0.10062299998025992,691937280,0,
02958343/148ba646cf954b9249352dd33f95cb9e,random,0,vis_a,view_budget_exhausted,10,0.070050460498805,0.6110290622025916,4.4768907417301556,0.8116967460704232,0.08630127056432403,0.7527799823772835,5.515472081665506,1,10,9,0.6057470866272474,9,-0.09878266143359277,9,0.47237243712877386,9,0.09479100026510423,691937280,0,
02958343/14ace3e8d05f8d21a413908c0e169330,random,0,vis_a,view_budget_exhausted,10,0.12928773316151795,0.9012505779304822,6.8194004230049305,0.9598381855419482,0.13469742620056205,0.9389609535294889,7.10473965896088,1,10,9,0.5637963681169689,9,-0.048801829948173364,9,0.5960356700750729,9,0.0953020003180427,691937280,0,
02958343/14d47aa57151ae4baa93570ec0c0afff,random,0,vis_a,view_budget_exhausted,10,0.10970737784785542,0.8442237781202517,5.986636025437335,0.9548483577469165,0.11489507936812463,0.8841443473938656,6.269724377558283,1,10,9,0.5155013221954834,9,0.044741301700332664,9,0.5120627509807785,9,0.09105300023293239,691937280,0,
02958343/151bebc457224c2733d7c9e122eec9b6,random,0,vis_a,view_budget_exhausted,10,0.1044727242681511,0.8912536890474505,6.410714338448435,0.9823117887596249,0.10635393513913731,0.9073022427765483,6.526150262884771,1,10,9,0.47628866942833703,9,0.06039428902623093,9,0.5603317076118198,9,0.11474800021460396,691937280,0,
02958343/1552f1a6521bb54a4bb135bcd06914d,random,0,vis_a,view_budget_exhausted,10,0.054237185506221135,0.7136798754029655,4.791157663136343,0.8651725187663817,0.06268944554960666,0.8248989189122372,5.537806112898596,1,10,9,0.45875604060988096,9,0.05866454334450158,9,0.5806768090950267,9,0.0930480000533862,691937280,0,
02958343/1569406dfc3b7ecba9fe1734a6086750,random,0,vis_a,view_budget_exhausted,10,0.10748126158904275,0.7663671201946998,5.615006747637342,0.926572402562112,0.11599877278002334,0.8270990136071174,6.05997624374631,1,10,9,0.5554906295552782,9,0.04208880028571533,9,0.5992012102845239,9,0.10975500026688678,691937280,0,
02958343/156d4748560997c9a848f24544821b25,random,0,vis_a,view_budget_exhausted,10,0.08050263724908374,0.7059523433650222,4.771004727180662,0.864839182737878,0.09308393844301929,0.8162816364658024,5.516638032144636,1,10,9,0.47660773855683936,9,0.01260330474964398,9,0.5592640467192925,9,0.12281599993002601,691937280,0,
