object_id,policy,seed,step_index,history_anchor_ids,acquired_view_count_before,acquired_view_count_after,valid_candidate_mask,selected_anchor,selected_true_gain,oracle_true_gain,coverage_before,coverage_after,reachable_normalized_coverage_before,reachable_normalized_coverage_after,normalized_regret,spearman,ndcg_at_5,policy_ms,acquisition_ms,process_rss_bytes,process_rss_delta_bytes,peak_cuda_allocated_bytes,profiling_mode
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",5,0.2000748549136798,0.34240813838295486,0.07964814603744022,0.27972300095112,0.08460931762615868,0.29714655534719375,0.49764270734342614,0.5915818686401481,0.7666744388209408,109.4643379997251,0.42037999992317054,1029767168,101539840,10675712,cached_features_plus_live_head
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,1,"[0, 5]",2,3,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",14,0.14230460960922203,0.29092486128233985,0.27972300095112,0.42202761056034205,0.29714655534719375,0.4483151200044727,0.6111724341668902,0.4474545745514752,0.7500570533669615,1.7242580001948227,0.3926200001842517,1032892416,69632,10676224,cached_features_plus_live_head
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,2,"[0, 5, 14]",3,4,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",22,0.06709600765400875,0.27200942584135857,0.42202761056034205,0.48912361821435085,0.4483151200044727,0.5195904441077687,0.8756577666948873,0.09881030179745208,0.5443090033134704,1.7192880000038713,0.31546600030196714,1032921088,0,10676224,cached_features_plus_live_head
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,3,"[0, 5, 14, 22]",4,5,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",31,0.03480561177219225,0.26322534728489966,0.48912361821435085,0.5239292299865431,0.5195904441077687,0.5565640487441137,0.9479305149666014,-0.08210477840449631,0.43173225052512026,1.9071239998993406,0.29876799999328796,1033039872,8192,10676224,cached_features_plus_live_head
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,4,"[0, 5, 14, 22, 31]",5,6,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",23,0.04348550135969152,0.25500577379613865,0.5239292299865431,0.5674147313462345,0.5565640487441137,0.6027582011471762,0.8826896406155094,-0.13031606817328645,0.4094611765234274,2.07763199978217,0.30878200004735845,1033076736,0,10676224,cached_features_plus_live_head
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,5,"[0, 5, 14, 22, 31, 23]",6,7,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",16,0.05506773901122283,0.24490924340371623,0.5674147313462345,0.6224824703574574,0.6027582011471762,0.6612560325815048,0.7906683684487997,-0.15546612085604772,0.29297854097375264,2.288118999786093,0.2744099997471494,1033089024,0,10676224,cached_features_plus_live_head
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,6,"[0, 5, 14, 22, 31, 23, 16]",7,8,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, false, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",24,0.04949175460072552,0.21058480313578015,0.6224824703574574,0.6719742249581829,0.6612560325815048,0.7138305593372222,0.7773145595680279,-0.2444585880890444,0.27648432092538267,2.5389849997736746,0.3046339998036274,1033129984,0,10676224,cached_features_plus_live_head
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,7,"[0, 5, 14, 22, 31, 23, 16, 24]",8,9,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, false, false, false, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",17,0.07372176366138145,0.1777101785447397,0.6719742249581829,0.7456959886195644,0.7138305593372222,0.792144348520141,0.5935111997596225,-0.2976421976394961,0.3063148776365581,3.8827149996905064,0.3017889998773171,1033187328,0,10676224,cached_features_plus_live_head
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,8,"[0, 5, 14, 22, 31, 23, 16, 24, 17]",9,10,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, false, false, true, true, true, true, false, false, false, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",25,0.047549254640635676,0.12066249637595357,0.7456959886195644,0.7932452432602,0.792144348520141,0.8426553797108166,0.612547481567271,-0.4302462119089959,0.24844711718474674,3.203042000222922,0.2924360001088644,1033261056,8192,10676224,cached_features_plus_live_head
02691156/162ed8d0d989f3acc1ccec171a275967,vggt,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",5,0.25324250250797387,0.3482213622020308,0.14497312553920544,0.39821562804717936,0.14849254645009843,0.4078828570813952,0.3883250308516135,0.4427613320999075,0.7918833970598012,1.3893039999857137,0.35764299991569715,1033707520,0,10676224,cached_features_plus_live_head
02691156/162ed8d0d989f3acc1ccec171a275967,vggt,0,1,"[0, 5]",2,3,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",14,0.10415052339869268,0.26918335447251474,0.39821562804717936,0.502366151445872,0.4078828570813952,0.5145617768885015,0.9055142422594027,0.32313388335458926,0.6686682958166019,1.955106999957934,0.39398199987772387,1033707520,0,10676224,cached_features_plus_live_head
02691156/162ed8d0d989f3acc1ccec171a275967,vggt,0,2,"[0, 5, 14]",3,4,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",22,0.06324506795699386,0.23667850018370185,0.502366151445872,0.5656112194028659,0.5145617768885015,0.5793422053742195,0.9288001704302794,-0.159525413697591,0.49073258517573154,1.6940089999479824,0.33600999995542224,1033707520,0,10676224,cached_features_plus_live_head
02691156/162ed8d0d989f3acc1ccec171a275967,vggt,0,3,"[0, 5, 14, 22]",4,5,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",8,0.15980556173138655,0.2260298156294408,0.5656112194028659,0.7254167811342525,0.5793422053742195,0.7430272656922758,0.3155246520398642,-0.39181543364419547,0.5505665094008582,1.914150000175141,0.32789199985927553,1033707520,0,10676224,cached_features_plus_live_head
