sample_id,object_id,history_length,history_anchor_ids,independent_huber,joint_huber,independent_normalized_regret,joint_normalized_regret,independent_spearman,joint_spearman,independent_ndcg_at_5,joint_ndcg_at_5
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0000/e52d9c508c50,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[4],0.015015964396297932,0.009271680377423763,0.07892183281531423,0.1704286575570159,0.9506244218316374,0.644195189639223,0.9593759012775496,0.8955362268266619
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0001/58f7b0780592,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[26],0.018977010622620583,0.011387305334210396,0.043824415752445216,0.043824415752445216,0.9803422756706753,0.9745605920444034,0.9617612731290626,0.9541322327957658
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0002/83891d7fe85c,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[20],0.015093737281858921,0.011397762224078178,0.05573528420906383,0.05573528420906383,0.8743061979648473,0.8945420906567992,0.9359637860097058,0.9510744186542944
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0003/2b4c342f5433,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[9],0.015252787619829178,0.010788247920572758,0.05763944905421497,0.05763944905421497,0.9132747456059205,0.9520120259019427,0.9376895342219602,0.9254411443060279
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0004/9652595f37ed,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[30],0.016636647284030914,0.011320194229483604,0.023207245359464168,0.023207245359464168,0.9804579093432008,0.9716697502312673,0.9588685409351647,0.9352516431030576
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0005/7cb7c4547cf2,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[22],0.017339235171675682,0.013224219903349876,0.04650022453945471,0.04650022453945471,0.9835800185013877,0.9660037002775208,0.9816661926616235,0.9314193641452252
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0006/6e340b9cffb3,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[0],0.006385405082255602,0.004466812126338482,0.11803517200446438,0.19081456006051195,0.7080249768732655,0.6712534690101758,0.9036539221212408,0.9240157433527004
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0007/01ba4719c80b,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[10],0.015084831044077873,0.010261673480272293,0.031523930551046575,0.031523930551046575,0.9638066604995374,0.963691026827012,0.9677327181884215,0.9490788568527672
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0000/f67213595624,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[23, 6]",0.014775922521948814,0.012999465689063072,0.015219560821349815,0.015219560821349815,0.9357385137218623,0.949059512796793,0.9434929559275164,0.9477116118551173
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0001/3d225fdcf10f,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[46, 23]",0.011176255531609058,0.01165369525551796,0.0,0.0,0.9349984582176996,0.9124267653407337,0.9569568618666211,0.9692552654420149
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0002/4fa6a745891d,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[17, 9]",0.015629960224032402,0.013855130411684513,0.044497276773261395,0.044497276773261395,0.9453592352759789,0.9457292630280604,0.9503907559336864,0.9515297443350753
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0003/4e3549480090,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[22, 2]",0.012971795164048672,0.015134376473724842,0.0,0.0,0.9675609004008633,0.9850755473327165,0.9756611919765038,0.9875262462290744
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0004/ad65cc74685c,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[12, 37]",0.01550348661839962,0.015584537759423256,0.0,0.0,0.9621338267036693,0.9705211224175145,0.9874499379322665,0.9888407336569598
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0005/f36a1756634f,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[12, 10]",0.015141937881708145,0.013776654377579689,0.0,0.0,0.9361085414739437,0.9668208448967005,0.9247678576544575,0.9679760719208873
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0006/09b8b1abe30a,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[36, 5]",0.013641217723488808,0.013668573461472988,0.04010699227899765,0.04010699227899765,0.9483194572926301,0.9757015109466542,0.9786817519734049,0.9568748507806644
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0007/d5206230b34f,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[7, 44]",0.008590406738221645,0.012923290953040123,0.0,0.05580734533058311,0.9477027443724945,0.9113166820844896,1.0,0.9892535346280432
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0000/a400add2cd05,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[4, 6, 36, 5]",0.0096418596804142,0.012071052566170692,0.03002218789287168,0.035150782714159896,0.9795630725863286,0.9646229739252996,0.9766584146672932,0.989250633325778
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0001/76da5ad4ac60,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[13, 20, 27, 1]",0.008592836558818817,0.012329748831689358,0.0,0.0,0.9219168428470755,0.8772374911909797,0.9840041611263161,0.9586628105153753
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0002/5f5ffa80c908,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[23, 35, 6, 24]",0.008995266631245613,0.012178201228380203,0.0,0.0,0.7923890063424948,0.9320648343904159,0.9605502013763886,0.9627686225101629
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0003/1e3e61757874,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[31, 20, 24, 3]",0.005595427006483078,0.008061675354838371,0.6402272721008716,0.0,0.7131782945736435,0.8958421423537704,0.577917760216277,1.0
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0004/95f2d5bf9d6f,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[20, 25, 6, 24]",0.005824116989970207,0.009164485149085522,0.23749595725065922,0.08395180938488134,0.7365750528541227,0.8305849189570121,0.8281660678404366,0.9406454950871799
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0005/aad90210bc64,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[13, 11, 26, 21]",0.009718489833176136,0.015186231583356857,0.0,0.03687212251829179,0.9392529950669487,0.9857646229739254,0.9597563000619111,0.9925380417113527
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0006/bf231d91b786,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[12, 5, 0, 20]",0.009872221387922764,0.012159373611211777,0.0,0.0,0.9340380549682876,0.9897110641296689,0.9666957497845876,0.999712162311042
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0007/469af48fdb2d,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[32, 23, 10, 24]",0.012186962179839611,0.01523605827242136,0.0,0.0,0.9054263565891474,0.9758985200845667,0.9749864716166373,0.9919829926299305
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h06/d0000/47f898b7f73e,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,6,"[26, 41, 36, 35, 15, 6]",0.004465391393750906,0.005693321116268635,0.415044420553193,0.024252291414918335,0.5436350376792805,0.6875455797747346,0.6520498327988175,0.9545991837913462
